State,StateAbbr,County,Year,Month,Day,DateLocal,NO2,O3,S2,CO,Latitude,Longitude,Population,Area,PopulationDensity
Arizona,AZ,Maricopa,2000,1,1,36526,19.041667,0.0225,3,1.145833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,1,15,36540,53.166667,0.010625,9.583333,2.754167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,2,1,36557,34.583333,0.018833,4.047619,1.3375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,2,15,36571,40.625,0.013167,5.5,1.804167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,3,1,36586,33.869565,0.01725,2.086957,0.891304,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,3,15,36600,40.652174,0.020917,0.342857,1.165217,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,4,1,36617,26.833333,0.027792,1.076923,0.725,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,4,15,36631,20.166667,0.029375,0.684211,0.629167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,5,1,36647,3.791667,0.033417,3.285714,1.266667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,5,15,36661,3.425,0.030958,1.416667,0.895833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,6,1,36678,38.5,0.019917,2.25,0.595455,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,6,15,36692,28.333333,0.027792,1.125,0.436364,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,7,1,36708,13.541667,0.031292,0.045455,0.495833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,7,15,36722,17.708333,0.027,0.708333,0.479167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,8,1,36739,22.416667,0.046333,0.208333,0.3125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,8,15,36753,21.125,0.039542,0.409091,0.258333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,9,1,36770,28.727273,0.009208,1.681818,0.954167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,9,15,36784,37.190476,0.022625,2.416667,0.820833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,10,1,36800,21.458333,0.021167,0.375,0.408333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,10,15,36814,39.25,0.021583,3.625,1.895833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,11,1,36831,34.958333,0.008333,1.125,1.233333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,11,15,36845,39.708333,0.009167,2.75,1.383333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,12,1,36861,45.73913,0.00275,5.434783,2.317391,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2000,12,15,36875,42.25,0.004208,2.791667,1.733333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,1,1,36892,36.25,0.006875,3.583333,1.925,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,1,15,36906,25.041667,0.015458,1.083333,0.7375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,2,1,36923,35.25,0.009708,3.041667,0.941667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,2,15,36937,38.458333,0.008917,1.458333,1,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,3,1,36951,35.416667,0.009417,1.958333,1.083333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,3,15,36965,33.083333,0.022,2.75,0.8625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,4,1,36982,22.5,0.02625,0.583333,0.504167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,4,15,36996,32.083333,0.030208,0.666667,0.891667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,5,1,37012,37.714286,0.014471,3.409091,1.45,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,5,15,37026,25.363636,0.022125,2.181818,0.65,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,6,1,37043,21.47619,0.027958,1.695652,0.420833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,6,15,37057,40.083333,0.028083,3,1.179167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,7,1,37073,16.333333,0.031667,2.041667,0.3125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,7,15,37087,11.833333,0.026958,1.625,0.258333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,8,1,37104,19.47619,0.033833,0.5,0.379167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,8,15,37118,27.583333,0.033542,0.375,0.541667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,9,1,37135,19.041667,0.022917,1.291667,0.770833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,9,15,37149,17.625,0.021125,3.166667,0.595833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,10,1,37165,21.916667,0.022083,4.041667,0.454167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,10,15,37179,36.714286,0.011542,6.625,1.233333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,11,1,37196,37.045455,0.011458,1.666667,1.2,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,11,15,37210,38.772727,0.009583,3.166667,1.170833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,12,1,37226,37.666667,0.009792,4.75,1.733333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2001,12,15,37240,29.958333,0.01,3.416667,0.8875,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,1,1,37257,32.791667,0.009625,6.208333,1.758333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,1,15,37271,48.176471,0.002708,5.85,1.491304,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,2,1,37288,35.708333,0.012167,2.208333,1.45,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,2,15,37302,43.208333,0.013167,3.375,1.475,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,3,1,37316,25.083333,0.028625,2.458333,0.766667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,3,15,37330,24.708333,0.020958,2.625,0.795833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,4,1,37347,31.625,0.0185,3.125,0.954167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,4,15,37361,12.458333,0.024958,2.583333,0.366667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,5,1,37377,19.791667,0.031917,2.333333,0.466667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,5,15,37391,23.208333,0.029083,3.416667,0.695833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,6,1,37408,23.083333,0.025125,2.791667,0.520833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,6,15,37422,24.75,0.025333,3.166667,0.7875,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,7,1,37438,19.6875,0.02865,0.65,0.555,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,8,1,37469,16.47619,0.024167,1.130435,0.345833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,8,15,37483,22.875,0.024958,1.583333,0.483333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,9,1,37500,13.208333,0.0385,1.291667,0.316667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,9,15,37514,16.166667,0.032333,0.125,0.2375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,10,1,37530,17,0.020958,1.347826,0.643478,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,10,15,37544,47.086957,0.014917,3.545455,1.578261,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,11,1,37561,42.5,0.012958,2.875,1.804167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,11,15,37575,32.166667,0.021083,2.208333,0.741667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,12,1,37591,28.083333,0.010542,2.5,1.541667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2002,12,15,37605,34.458333,0.005792,2.958333,1.2625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,1,1,37622,40,0.009583,4.333333,2.2375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,1,15,37636,40.5,0.004125,4.5,1.490476,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,2,1,37653,30.083333,0.009833,3.833333,1.125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,2,15,37667,26.041667,0.009625,2.541667,0.975,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,3,1,37681,20.125,0.025042,0.083333,0.425,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,3,15,37695,30.666667,0.020208,1.291667,0.520833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,4,1,37712,26.875,0.020958,1.625,0.479167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,4,15,37726,15.590909,0.031625,1.458333,0.204167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,5,1,37742,39.238095,0.025083,2.545455,0.640909,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,5,15,37756,20.090909,0.033875,1.956522,0.282609,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,6,1,37773,15.125,0.035583,0.958333,0.158333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,6,15,37787,20.458333,0.031708,3.833333,0.533333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,7,1,37803,17.666667,0.026667,3.454545,0.395455,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,7,15,37817,19.857143,0.040375,1.95,0.41,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,10,1,37895,35.875,0.018292,2.631579,1,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,10,15,37909,35,0.001,1.727273,0.930435,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,11,1,37926,29.958333,0.008917,0.291667,0.708333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,11,15,37940,26.125,0.014458,1.625,1.079167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,12,1,37956,44.727273,0.005208,4.652174,1.504545,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2003,12,15,37970,29.291667,0.013625,0.291667,0.541667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,1,1,37987,26.291667,0.012833,2.875,0.9625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,1,15,38001,24.083333,0.012417,2.666667,0.65,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,2,1,38018,23.25,0.019792,0.791667,0.25,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,2,15,38032,31.75,0.016375,2.541667,0.770833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,3,1,38047,32.333333,0.0155,3.238095,0.325,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,3,15,38061,29.95,0.021917,1.291667,0.5,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,4,1,38078,13.875,0.024792,1.458333,0.3,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,4,15,38092,22.5,0.027208,1.333333,0.441667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,5,1,38108,20.916667,0.0375,0.333333,0.379167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,5,15,38122,25.958333,0.037083,1.208333,0.6,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,6,1,38139,26,0.0235,1.083333,0.5,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,6,15,38153,20.083333,0.028333,0.875,0.254167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,7,1,38169,26.166667,0.019875,2.416667,0.35,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,8,1,38200,13.375,0.043208,2.208333,0.204167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,8,15,38214,15.708333,0.043792,2.208333,0.166667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,9,1,38231,27.875,0.028625,3.25,0.3625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,9,15,38245,27,0.017208,4.416667,0.695455,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,10,1,38261,25.458333,0.016667,3.791667,0.825,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,10,15,38275,36.708333,0.014583,5.291667,1.2125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,11,1,38292,15.727273,0.025125,0.090909,0.190909,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,11,15,38306,16.714286,0.004875,1.954545,0.713043,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,12,1,38322,32.272727,0.005118,2.045455,1.321739,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2004,12,15,38336,34.428571,0.008458,4.761905,1.06087,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,1,1,38353,27.541667,0.009542,2.333333,1.2125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,1,15,38367,37.041667,0.004708,1.333333,1.5375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,2,1,38384,29.791667,0.012375,1.454545,0.808333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,2,15,38398,37.416667,0.002667,1.5,1.058333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,3,1,38412,30.791667,0.017,1.125,0.7,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,3,15,38426,19.916667,0.027125,1,0.270833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,4,1,38443,22.625,0.026792,1.458333,0.316667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,4,15,38457,40.333333,0.024792,2.375,0.770833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,5,1,38473,20.791667,0.023167,1.25,0.45,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,5,15,38487,25.583333,0.035625,3.333333,0.970833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,6,1,38504,24.916667,0.022667,3.166667,0.416667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,6,15,38518,27.291667,0.030583,0.333333,0.141667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,7,1,38534,28.75,0.025625,1.833333,0.491667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,7,15,38548,19.416667,0.031875,1.272727,0.221739,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,8,1,38565,13,0.030917,0.583333,0.208333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,8,15,38579,18.041667,0.024292,0.272727,0.220833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,9,1,38596,24.409091,0.023792,1.52381,0.278261,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,9,15,38610,35.545455,0.020792,2.136364,0.508696,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,10,1,38626,31.958333,0.023958,1.958333,0.645833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,10,15,38640,23.791667,0.022833,1.333333,0.4375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,11,1,38657,40.863636,0.014292,5.333333,1.7125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,11,15,38671,29.208333,0.012583,2.291667,1.075,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,12,1,38687,41.916667,0.007167,4.25,1.541667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2005,12,15,38701,44.052632,0.003833,4.521739,1.413043,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,1,1,38718,32.708333,0.012,0.875,1.054167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,1,15,38732,19.666667,0.024458,0.583333,0.425,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,2,1,38749,37.041667,0.009708,1.125,0.7875,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,2,15,38763,22.708333,0.028667,0.666667,0.3,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,3,1,38777,25.416667,0.012167,0,0.3625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,3,15,38791,33.083333,0.025,0.583333,0.654167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,4,1,38808,14.75,0.031208,3.333333,0.316667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,4,15,38822,15.458333,0.028625,0.5,0.375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,5,1,38838,26.434783,0.024542,0.347826,0.386957,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,5,15,38852,37.681818,0.017708,0.347826,0.465217,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,6,1,38869,38.75,0.026375,3.333333,0.720833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,6,15,38883,22.791667,0.040417,1.666667,0.470833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,7,1,38899,15.25,0.058333,0.583333,0.433333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,7,15,38913,11.958333,0.044958,1.166667,0.345833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,8,1,38930,7,0.023958,2.434783,0.273913,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,8,15,38944,11.52381,0.036,2.304348,0.317391,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,9,1,38961,27.375,0.030875,0.416667,0.729167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,9,15,38975,9.166667,0.025667,1.958333,0.2375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,10,1,38991,21.958333,0.025083,1.291667,0.5,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,10,15,39005,19.25,0.022333,0.291667,0.495833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,11,1,39022,40.333333,0.014167,2.125,1.1,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,11,15,39036,37.833333,0.013583,2.291667,1.15,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,12,1,39052,46.625,0.004792,4.25,1.579167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2006,12,15,39066,40.375,0.00475,7.083333,1.295833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,1,1,39083,31.083333,0.010125,2.791667,1.483333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,1,15,39097,36.458333,0.013208,3.875,1.166667,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,2,1,39114,18.041667,0.018583,1.125,0.3375,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,2,15,39128,34.954545,0.007083,2.545455,0.713636,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,3,1,39142,27.666667,0.017333,1.666667,0.454167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,3,15,39156,42.727273,0.021625,2.909091,0.795652,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,4,1,39173,26.375,0.028,1.791667,0.454167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,4,15,39187,16.25,0.03825,1.208333,0.279167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,5,1,39203,22.954545,0.026875,1.130435,0.386957,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,5,15,39217,24.272727,0.031833,1.136364,0.334783,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,6,1,39234,20.916667,0.030417,1.375,0.3,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,6,15,39248,26.208333,0.024958,1.416667,0.329167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,7,1,39264,18.5,0.035042,1.25,0.270833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,7,15,39278,10,0.032833,1.041667,0.125,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,8,1,39295,12.041667,0.027542,0.083333,0.208333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,8,15,39309,15.208333,0.04575,0,0.195833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,9,1,39326,10.041667,0.043042,0.041667,0.104167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,9,15,39340,20.375,0.029667,0.125,0.3625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,10,1,39356,25.571429,0.012667,0.454545,0.669565,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,10,15,39370,37.764706,0.02,0.73913,0.695652,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,11,1,39387,38.458333,0.012208,0.791667,0.670833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,11,15,39401,26.714286,0.013833,0.833333,0.595,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,12,1,39417,4.625,0.027125,0,0.1625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2007,12,15,39431,23.833333,0.013083,0.625,0.625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,1,1,39448,24.666667,0.025875,1.125,0.75,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,1,15,39462,27.789474,0.013875,0.958333,0.740909,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,2,1,39479,35.833333,0.008,3.708333,0.979167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,2,15,39493,20.136364,0.018583,1.130435,0.304348,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,3,1,39508,25.791667,0.02025,3,0.470833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,3,15,39522,16,0.037833,1.958333,0.183333,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,4,1,39539,31.909091,0.020542,2.363636,0.382609,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,4,15,39553,20.681818,0.033958,2.409091,0.352174,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,5,1,39569,17.375,0.043958,2.083333,0.370833,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,5,15,39583,18,0.035333,0.916667,0.5,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,6,1,39600,17.541667,0.04275,1.166667,0.354167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,6,15,39614,15.208333,0.036208,2,0.179167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,7,1,39630,18.409091,0.038958,0.083333,0.2625,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,7,15,39644,14.695652,0.028708,0.625,0.023529,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,8,1,39661,17.782609,0.038583,1,0.113043,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,8,15,39675,14.956522,0.037917,0.608696,0.156522,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,9,1,39692,4.166667,0.02975,0.125,0.129167,33.703967,-112.351835,6392017,113998.3,56.3
Arizona,AZ,Maricopa,2008,9,15,39706,11.954545,0.037417,1,0.241667,33.703967,-112.351835,6392017,113998.3,56.3
